"Name","eext__Installed_organization__r.eext__ExternalId__c","eext__Newest_package_version__r.eext__ExternalId__c","eext__Package_version__r.eext__ExternalId__c","eext__Version_differences__c"
"Argentina Enterprise/Retail Modal Template 1.5","a0o7Q000007vgqfQAA","a0r7Q000005MVLvQAO","a0r7Q000005MVLvQAO",""
"Argentina Enterprise/Retail Dynamic Buttons Panel 1.74","a0o7Q000007vgqfQAA","a0r7Q000005MVStQAO","a0r7Q000005MVStQAO",""
"Argentina Enterprise/Retail Dynamic Table Display 2.45","a0o7Q000007vgqfQAA","a0r7Q000005MVOHQA4","a0r7Q000005MVOHQA4","- Features:
- Bugfixes:
 	 Changed the name of the location variable to loc in jQuery.resource"
"Argentina Enterprise/Retail Visit Kit 5.81","a0o7Q000007vgqfQAA","a0r7Q000005MVe4QAG","a0r7Q000005MVU5QAO","- Features:
- Bugfixes:
 	 Corrected hard coded text on Launch meeting success/error title toasts"
"Argentina Enterprise/Retail Dynamic Form 1.36","a0o7Q000007vgqfQAA","a0r7Q000005MVMIQA4","a0r7Q000005MVVOQA4","- Features:
 	 Added fields to field config object to choose whether sections and subsections are expanded by default.
Keep field value when visibility conditions change
- Bugfixes:
 	 Fixed error when saving records that have child relationships and certain conditions
 	 Update Standard currency component
Fixed currency format
Fixed Default Value functionality in LIST type fields"
"Argentina Enterprise/Retail Quick View Cards 4.42","a0o7Q000007vgqfQAA","a0r7Q000005MVLOQA4","a0r7Q000005MVLOQA4",""
"Argentina Enterprise/Retail Template Builder 2.13","a0o7Q000007vgqfQAA","a0r7Q000005MVYGQA4","a0r7Q000005MVYGQA4","- Features:
- Bugfixes:"
"Argentina Enterprise/Retail Calendar View 1.0","a0o7Q000007vgqfQAA","a0r7Q000005MVabQAG","a0r7Q000005MVabQAG",""
"Argentina Enterprise/Retail Guidance for Success 1.4","a0o7Q000007vgqfQAA","a0r7Q000005MVLCQA4","a0r7Q000005MVLCQA4",""
"Argentina Enterprise/Retail Google Calendar Availability 1.5","a0o7Q000007vgqfQAA","a0r7Q000005MVaXQAW","a0r7Q000005MVaXQAW",""
"Argentina Enterprise/Retail Chart Generator 1.3","a0o7Q000007vgqfQAA","a0r7Q000005MVPTQA4","a0r7Q000005MVPOQA4","- Features:
 	 Updated Chart.js library to version 3.91.
- Bugfixes:
 	 Fixed max length on tick labels."
"Colombia Enterprise Product Form 1.44","a0o7Q000007vh0BQAQ","a0r7Q000005MVdGQAW","a0r7Q000005MVNbQAO","- Features:
 	 Improved confirm modal so its salesforce like
 	 The allLoaded variable of the GBL_Opportunity_Products_cmp component has become global.
The GBL_ShowModal_evt event has also become global
- Bugfixes:
 	 Fixed problem of mixed data when clicking on different products rapidly.
Fixed lack of minimun, maximum and default values control for rows on complex item tables
 	 Increased height of product editing mode"
"Colombia Enterprise Alerts Module 2.4","a0o7Q000007vh0BQAQ","a0r7Q000005MVL3QAO","a0r7Q000005MVL3QAO",""
"Colombia Enterprise Modal Template 1.5","a0o7Q000007vh0BQAQ","a0r7Q000005MVLvQAO","a0r7Q000005MVLvQAO",""
"Colombia Enterprise Contacts 1.0","a0o7Q000007vh0BQAQ","a0r7Q000005MVPiQAO","a0r7Q000005MVPYQA4","- Features:
- Bugfixes:"
"Colombia Enterprise Hangout 1.0","a0o7Q000007vh0BQAQ","a0r7Q000005MVPdQAO","a0r7Q000005MVPdQAO",""
"Colombia Enterprise Dynamic Buttons Panel 1.74","a0o7Q000007vh0BQAQ","a0r7Q000005MVStQAO","a0r7Q000005MVStQAO",""
"Colombia Enterprise Branch 1.2","a0o7Q000007vh0BQAQ","a0r7Q000005MVQ7QAO","a0r7Q000005MVNAQA4","- Features:
- Bugfixes:"
"Colombia Enterprise Visit Kit 5.74","a0o7Q000007vh0BQAQ","a0r7Q000005MVe4QAG","a0r7Q000005MVRQQA4","- Features:
 	 Added new field to 'Launch meeting validations' custom setting to control if 'add google meet room' checkbox displays only when visit channel is online
        Changes required by the upgrade of Google Calendar Engine and Seeker components
        Workflows has been migrated to Flows, because Workflows will be deprecated in future Salesforce releases
- Bugfixes:
 	 Corrected hard coded text on Launch meeting success/error title toasts
 	 Fixed package installation error when certain features are included (Financial/health cloud apparently) and page layout used deprecated tags 'relatedContent' with 'whatId' field
 	 Fixed error about the buttons of button strip in firefox
 	 Fixed error when creating Attendees records
        Security injection in some querys"
"Colombia Enterprise Users 1.1","a0o7Q000007vh0BQAQ","a0r7Q000005MVMkQAO","a0r7Q000005MVPsQAO","- Features:
 	 Increased max length of field prof_position_type
Updated project-scratch-def.json
- Bugfixes:"
"Colombia Enterprise Client Group Landing Page 1.4","a0o7Q000007vh0BQAQ","a0r7Q000005MVR5QAO","a0r7Q000005MVQlQAO","- Features:
- Bugfixes:"
"Colombia Enterprise Dynamic Form 1.39","a0o7Q000007vh0BQAQ","a0r7Q000005MVMIQA4","a0r7Q000005MVgPQAW","- Features:
 	 Added fields to field config object to choose whether sections and subsections are expanded by default.
Keep field value when visibility conditions change
- Bugfixes:
 	 Fixed error when saving records that have child relationships and certain conditions"
"Colombia Enterprise Quick View Cards 4.42","a0o7Q000007vh0BQAQ","a0r7Q000005MVLOQA4","a0r7Q000005MVLOQA4",""
"Colombia Enterprise Campaign 1.2","a0o7Q000007vh0BQAQ","a0r7Q000005MVMrQAO","a0r7Q000005MVXOQA4","- Features:
- Bugfixes:"
"Colombia Enterprise Component Wrapper 1.3","a0o7Q000007vh0BQAQ","a0r7Q000005MVb0QAG","a0r7Q000005MVb0QAG",""
"Colombia Enterprise Non Clients 1.51","a0o7Q000007vh0BQAQ","a0r7Q000005MVfWQAW","a0r7Q000005MVZKQA4","- Features:
- Bugfixes:"
"Colombia Enterprise Message Bar 1.0","a0o7Q000007vh0BQAQ","a0r7Q000005MVVWQA4","a0r7Q000005MVVMQA4","- Features:
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
- Bugfixes:
 	 Fixed error when the message value arrives later than the message bar rendering
 	 Fixed error when the message value arrives later than the message bar rendering"
"Colombia Enterprise Template Builder 1.7","a0o7Q000007vh0BQAQ","a0r7Q000005MVYGQA4","a0r7Q000005MVXnQAO","- Features:
 	 Added custom setting field 'Hide not editable fields' so these non editable fields hide when they are selected on the corresponding template builder field
 	 Changed footer buttons distribution
 	 Fixed footer separation with respect to modal.
Independent scrolling on first and second screens.
Spinners implementation to provide feedback to user when actions are being executed/ data is being loaded.
On first screen for recipients and related content columns.
On second screen between during transition and template rendering.
Control to have at least un recipient to send the email.
Optional validation through local class with respect to recipients, related content and email content.
Control on button to send email to not send more than one.
Disabled send button if no template is selected.
Replaced cancel button for back button to enable going back to first screen.
Custom messages on certain situations:
When user fails validations on isUserAllowed Function.
When there are no valid recipients.
When there is no related content.
Modal automatically closes when there are no templates available
Posibility to set non editable email fields (Subject, Introduction, Salutation…)
Default template in a folder.
Trigger to validate default template ( auxiliar content on repository )
General improvements on appearance (spaces and margins)
UX general improvements
Performance improvements and reduced server calls
Improvements over failed send email control and handle email result function
- Bugfixes:
 	 Fixed error when initiating component
 	 Fixed error when receiving an empty recipient category
 	 Fixed hardcoded string by custom label in error toast of handle email result.
Component closes when calls result in error.
Related context log with sent mail log"
